latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
32.204494,73.44648,330.11,0.4,0.37,2020-01-03,0802,N,VIIRS,n,1,288.05,3.12,D,0
32.203045,73.446007,330.68,0.4,0.37,2020-01-03,0802,N,VIIRS,n,1,288.1,2.86,D,0
31.761288,71.057182,330.83,0.48,0.4,2020-01-03,0802,N,VIIRS,n,1,291.89,4.15,D,0
31.673807,70.957375,329.68,0.49,0.4,2020-01-03,0802,N,VIIRS,n,1,291.53,2.55,D,0
31.660532,71.008659,332.03,0.49,0.4,2020-01-03,0802,N,VIIRS,n,1,292.89,6.27,D,0
31.661963,71.005997,327.09,0.49,0.4,2020-01-03,0802,N,VIIRS,n,1,290.94,3.04,D,0
32.20435,74.492027,331.48,0.39,0.36,2020-01-03,0802,N,VIIRS,n,1,292.16,1.69,D,0
32.202511,74.589111,325.23,0.39,0.36,2020-01-03,0802,N,VIIRS,n,1,292.36,2.3,D,0
32.199211,74.589821,329.85,0.39,0.36,2020-01-03,0802,N,VIIRS,n,1,293.12,2.3,D,0
31.518461,70.884483,331.4,0.49,0.41,2020-01-03,0802,N,VIIRS,n,1,291.36,5.13,D,0
32.211578,75.449234,327.43,0.38,0.36,2020-01-03,0802,N,VIIRS,n,1,290.54,1.27,D,0
32.190063,75.328094,330.78,0.38,0.36,2020-01-03,0802,N,VIIRS,n,1,292.73,5.33,D,0
31.606672,71.834061,340.11,0.45,0.39,2020-01-03,0802,N,VIIRS,n,1,294.43,4.93,D,0
31.766161,72.8255,325.76,0.42,0.37,2020-01-03,0802,N,VIIRS,n,1,290.62,2.07,D,0
31.388664,70.855453,329.93,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,291.18,3.26,D,0
31.397707,70.945061,327.21,0.49,0.41,2020-01-03,0802,N,VIIRS,n,1,290.9,2.48,D,0
31.345306,70.871918,331.11,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,292.14,3.41,D,0
31.667612,72.887375,331.96,0.42,0.37,2020-01-03,0802,N,VIIRS,n,1,291.19,2.49,D,0
31.187634,70.927185,325.45,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,291.26,2.17,D,0
31.525373,72.856239,325.35,0.42,0.37,2020-01-03,0802,N,VIIRS,n,1,288.66,1.63,D,0
31.579973,73.219727,325.78,0.41,0.37,2020-01-03,0802,N,VIIRS,n,1,289.75,2.21,D,0
31.455538,72.657974,327.47,0.42,0.38,2020-01-03,0802,N,VIIRS,n,1,282.48,1.93,D,0
31.39797,72.350311,337.22,0.43,0.38,2020-01-03,0802,N,VIIRS,n,1,290.78,4,D,0
31.095694,70.770088,337.87,0.51,0.41,2020-01-03,0802,N,VIIRS,n,1,292.45,7.49,D,0
31.347834,72.294525,327.98,0.44,0.38,2020-01-03,0802,N,VIIRS,n,1,289.42,2.93,D,0
31.341963,72.2817,329.7,0.44,0.38,2020-01-03,0802,N,VIIRS,n,1,289.58,3.76,D,0
31.000418,70.618652,338.41,0.52,0.41,2020-01-03,0802,N,VIIRS,n,1,291.83,6.73,D,0
31.041622,70.835854,342.01,0.51,0.41,2020-01-03,0802,N,VIIRS,n,1,294.15,6.37,D,0
30.996658,70.619621,344.38,0.52,0.41,2020-01-03,0802,N,VIIRS,n,1,296.77,15.2,D,0
31.372965,72.790588,327.88,0.42,0.38,2020-01-03,0802,N,VIIRS,n,1,293.07,2.46,D,0
31.278418,72.29213,325.61,0.44,0.38,2020-01-03,0802,N,VIIRS,n,1,290.01,2.24,D,0
31.202511,72.031929,332.68,0.45,0.39,2020-01-03,0802,N,VIIRS,n,1,292.12,3.82,D,0
30.988407,70.904022,331.73,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,291.38,7.05,D,0
31.20014,72.030983,329.79,0.45,0.39,2020-01-03,0802,N,VIIRS,n,1,291.87,1.48,D,0
31.309532,72.763306,334.46,0.42,0.38,2020-01-03,0802,N,VIIRS,n,1,291.44,3.56,D,0
30.969263,70.906227,333.35,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,292.17,4.8,D,0
31.122078,72.107918,329.84,0.45,0.39,2020-01-03,0802,N,VIIRS,n,1,291.24,2.59,D,0
31.444729,74.150726,327.85,0.39,0.36,2020-01-03,0802,N,VIIRS,n,1,292.62,1.86,D,0
31.09267,72.165573,330.91,0.44,0.39,2020-01-03,0802,N,VIIRS,n,1,291.6,3.03,D,0
31.314716,73.544617,330.43,0.4,0.37,2020-01-03,0802,N,VIIRS,n,1,288.92,5.52,D,0
30.821724,70.890465,330.51,0.51,0.41,2020-01-03,0802,N,VIIRS,n,1,291.51,5.15,D,0
31.110889,72.619133,326.28,0.43,0.38,2020-01-03,0802,N,VIIRS,n,1,289.99,2.01,D,0
31.218025,73.343224,344.83,0.41,0.37,2020-01-03,0802,N,VIIRS,n,1,292.17,4.66,D,0
